iter	Passed	Remaining
0	217	217431
1	411	205228
2	534	177500
3	607	151248
4	690	137384
5	757	125482
6	828	117596
7	935	115963
8	1041	114626
9	1125	111444
10	1195	107530
11	1282	105556
12	1500	113891
13	1640	115540
14	1760	115607
15	1853	113994
16	2071	119790
17	2137	116589
18	2206	113946
19	2309	113171
20	2524	117668
21	2813	125087
22	2898	123130
23	3000	122032
24	3326	129719
25	3390	127000
26	3497	126033
27	3592	124719
28	3684	123368
29	3986	128905
30	4114	128620
31	4171	126199
32	4239	124221
33	4314	122578
34	4422	121947
35	4517	120956
36	4598	119695
37	4672	118284
38	4765	117426
39	4853	116475
40	4949	115760
41	5043	115041
42	5143	114478
43	5233	113715
44	5301	112512
45	5361	111189
46	5427	110044
47	5490	108892
48	5547	107661
49	5658	107516
50	5742	106860
51	5823	106160
52	5886	105179
53	5960	104421
54	6028	103572
55	6095	102747
56	6187	102360
57	6269	101819
58	6347	101244
59	6431	100762
60	6514	100279
61	6590	99703
62	6725	100034
63	6795	99389
64	6870	98834
65	6963	98541
66	7029	97894
67	7093	97222
68	7185	96947
69	7266	96545
70	7410	96967
71	7536	97132
72	7607	96599
73	7725	96677
74	7788	96062
75	7860	95571
76	7944	95227
77	8014	94733
78	8083	94239
79	8188	94164
80	8377	95049
81	8572	95971
82	8649	95565
83	8760	95531
84	8839	95155
85	8901	94608
86	8993	94376
87	9080	94112
88	9150	93666
89	9223	93263
90	9322	93119
91	9398	92761
92	9473	92391
93	9543	91983
94	9615	91598
95	9697	91321
96	9779	91038
97	9898	91107
98	9972	90759
99	10042	90385
100	10113	90019
101	10204	89843
102	10328	89944
103	10403	89630
104	10465	89204
105	10537	88871
106	10614	88582
107	10679	88204
108	10762	87975
109	10825	87584
110	10903	87323
111	10964	86929
112	11021	86515
113	11100	86272
114	11170	85964
115	11257	85789
116	11335	85552
117	11420	85360
118	11502	85160
119	11569	84844
120	11622	84433
121	11699	84198
122	11809	84204
123	11901	84077
124	11985	83900
125	12054	83615
126	12123	83336
127	12192	83064
128	12271	82855
129	12341	82594
130	12425	82427
131	12502	82210
132	12589	82069
133	12881	83251
134	14319	91750
135	14899	94655
136	15462	97405
137	15730	98255
138	16019	99229
139	16179	99388
140	16475	100369
141	16633	100504
142	16767	100489
143	16884	100371
144	17035	100450
145	17400	101781
146	17681	102600
147	17816	102565
148	18028	102968
149	18262	103489
150	18448	103726
151	18749	104601
152	18882	104534
153	19096	104904
154	19200	104671
155	19324	104548
156	19447	104423
157	19574	104315
158	19687	104135
159	19804	103976
160	19898	103694
161	19985	103383
162	20161	103526
163	20257	103262
164	20402	103250
165	20542	103208
166	20718	103346
167	20791	102967
168	20854	102542
169	20925	102164
170	20997	101794
171	21110	101626
172	21210	101394
173	21304	101136
174	21367	100734
175	21438	100370
176	21505	99993
177	21592	99715
178	21691	99489
179	21781	99224
180	21855	98893
181	21970	98744
182	22141	98852
183	22221	98548
184	22293	98209
185	22356	97837
186	22417	97463
187	22493	97153
188	22560	96807
189	22642	96528
190	22710	96191
191	22788	95902
192	22872	95635
193	22937	95295
194	22990	94910
195	23071	94639
196	23159	94399
197	23225	94074
198	23289	93741
199	23361	93445
200	23490	93376
201	23608	93266
202	23711	93093
203	23775	92771
204	23842	92461
205	23909	92154
206	24038	92091
207	24171	92037
208	24246	91765
209	24312	91460
210	24395	91223
211	24769	92066
212	24842	91789
213	24915	91512
214	24992	91253
215	25081	91036
216	25168	90813
217	25241	90545
218	25325	90316
219	25398	90047
220	25465	89761
221	25561	89580
222	25647	89364
223	25736	89158
224	25794	88847
225	25877	88623
226	25975	88455
227	26100	88375
228	26206	88230
229	26282	87990
230	26386	87842
231	26498	87719
232	26606	87584
233	26772	87638
234	26849	87403
235	26918	87143
236	26988	86888
237	27061	86643
238	27128	86381
239	27215	86183
240	27289	85945
241	27359	85696
242	27448	85508
243	27540	85329
244	27608	85079
245	27671	84814
246	27747	84589
247	27834	84401
248	27921	84212
249	27981	83944
250	28041	83676
251	28121	83470
252	28202	83271
253	28293	83098
254	28360	82855
255	28481	82774
256	28585	82641
257	28673	82465
258	28785	82355
259	28884	82210
260	28949	81967
261	29049	81827
262	29143	81667
263	29248	81541
264	29345	81392
265	29422	81187
266	29493	80970
267	29559	80737
268	29626	80510
269	29689	80272
270	29765	80071
271	29840	79868
272	29906	79640
273	29980	79437
274	30073	79285
275	30149	79088
276	30218	78874
277	30316	78735
278	30380	78510
279	30454	78310
280	30541	78146
281	30647	78031
282	30811	78064
283	30954	78040
284	31037	77865
285	31121	77695
286	31207	77529
287	31276	77322
288	31365	77164
289	31434	76961
290	31516	76787
291	31577	76563
292	31638	76343
293	31700	76125
294	31754	75886
295	31848	75746
296	31934	75589
297	32039	75475
298	32163	75406
299	32233	75210
300	32327	75073
301	32399	74884
302	32462	74675
303	32538	74495
304	32631	74356
305	32715	74197
306	32784	74006
307	32919	73961
308	33036	73877
309	33095	73665
310	33157	73458
311	33230	73276
312	33298	73085
313	33413	72999
314	33484	72814
315	33576	72678
316	33654	72512
317	33738	72356
318	33831	72223
319	33916	72073
320	33987	71893
321	34084	71767
322	34191	71665
323	34276	71514
324	34386	71418
325	34479	71286
326	34548	71104
327	34616	70922
328	34688	70747
329	34751	70555
330	34808	70352
331	34880	70181
332	34949	70003
333	35022	69835
334	35117	69711
335	35194	69550
336	35258	69365
337	35317	69172
338	35386	68998
339	35480	68874
340	35564	68729
341	35659	68608
342	35729	68437
343	35794	68259
344	35884	68127
345	35982	68013
346	36070	67878
347	36160	67749
348	36224	67570
349	36314	67441
350	36385	67276
351	36476	67149
352	36536	66965
353	36598	66786
354	36675	66635
355	36730	66445
356	36798	66279
357	36867	66113
358	36940	65957
359	37031	65834
360	37111	65690
361	37192	65548
362	37257	65379
363	37333	65231
364	37407	65078
365	37511	64979
366	37614	64877
367	37700	64746
368	37760	64571
369	37830	64414
370	37915	64282
371	37983	64122
372	38121	64081
373	38240	64006
374	38316	63861
375	38381	63697
376	38470	63572
377	38551	63437
378	38626	63289
379	38706	63152
380	38809	63051
381	38927	62976
382	39132	63040
383	39257	62976
384	39331	62828
385	39412	62692
386	39504	62575
387	39577	62427
388	39648	62275
389	39716	62120
390	39779	61958
391	39842	61797
392	39922	61661
393	39985	61499
394	40061	61360
395	40131	61211
396	40212	61077
397	40275	60919
398	40344	60768
399	40411	60617
400	40468	60450
401	40560	60336
402	40629	60188
403	40694	60033
404	40786	59920
405	40880	59809
406	40947	59660
407	41010	59505
408	41087	59370
409	41154	59222
410	41219	59070
411	41294	58934
412	41375	58807
413	41455	58678
414	41547	58567
415	41631	58444
416	41701	58301
417	41784	58178
418	41866	58054
419	41935	57910
420	42003	57767
421	42076	57630
422	42146	57490
423	42221	57357
424	42308	57240
425	42412	57147
426	42481	57007
427	42573	56897
428	42656	56775
429	42721	56630
430	42784	56483
431	42854	56345
432	42913	56193
433	42977	56049
434	43045	55910
435	43107	55762
436	43195	55649
437	43273	55525
438	43348	55395
439	43436	55282
440	43532	55180
441	43623	55071
442	43701	54947
443	43763	54803
444	43880	54727
445	44020	54680
446	44096	54553
447	44175	54430
448	44236	54285
449	44313	54160
450	44385	54029
451	44473	53918
452	44539	53782
453	44618	53660
454	44684	53522
455	44748	53383
456	44819	53254
457	44887	53120
458	44975	53010
459	45045	52879
460	45132	52768
461	45240	52682
462	45322	52566
463	45393	52437
464	45483	52330
465	45549	52196
466	45616	52063
467	45683	51931
468	45754	51803
469	45814	51663
470	45883	51533
471	45943	51394
472	46021	51275
473	46100	51158
474	46168	51028
475	46237	50899
476	46302	50767
477	46362	50630
478	46429	50500
479	46512	50388
480	46575	50255
481	46652	50136
482	46736	50026
483	46809	49904
484	46875	49775
485	46931	49635
486	47008	49518
487	47078	49393
488	47161	49283
489	47233	49161
490	47303	49037
491	47363	48904
492	47427	48774
493	47506	48660
494	47570	48531
495	47636	48405
496	47711	48287
497	47786	48169
498	47848	48040
499	47910	47910
500	47976	47784
501	48043	47660
502	48108	47534
503	48164	47399
504	48224	47269
505	48282	47137
506	48368	47033
507	48455	46929
508	48546	46829
509	48606	46699
510	48669	46573
511	48744	46459
512	48852	46376
513	48939	46273
514	49003	46148
515	49073	46030
516	49144	45912
517	49201	45781
518	49274	45666
519	49348	45552
520	49413	45430
521	49476	45306
522	49569	45210
523	49628	45082
524	49696	44963
525	49765	44845
526	49848	44740
527	50005	44702
528	50113	44619
529	50193	44511
530	50265	44396
531	50330	44276
532	50396	44155
533	50461	44035
534	50519	43909
535	50604	43807
536	50668	43686
537	50758	43588
538	50840	43483
539	50903	43362
540	50959	43235
541	51038	43128
542	51133	43035
543	51195	42914
544	51256	42792
545	51339	42689
546	51419	42583
547	51478	42460
548	51539	42339
549	51633	42245
550	51719	42145
551	51814	42052
552	51876	41932
553	51945	41818
554	52014	41705
555	52075	41585
556	52145	41473
557	52220	41364
558	52287	41250
559	52355	41136
560	52427	41026
561	52503	40919
562	52563	40800
563	52657	40706
564	52718	40588
565	52777	40468
566	52845	40356
567	52907	40239
568	52969	40122
569	53039	40012
570	53105	39899
571	53186	39796
572	53273	39699
573	53368	39608
574	53443	39501
575	53510	39389
576	53577	39277
577	53659	39177
578	53726	39065
579	53787	38949
580	53855	38838
581	53919	38725
582	53978	38609
583	54053	38504
584	54121	38393
585	54212	38300
586	54277	38188
587	54351	38083
588	54419	37973
589	54481	37860
590	54552	37753
591	54621	37644
592	54753	37579
593	54823	37471
594	54877	37353
595	54943	37243
596	55002	37128
597	55071	37021
598	55153	36922
599	55248	36832
600	55329	36732
601	55396	36624
602	55464	36516
603	55531	36408
604	55593	36296
605	55659	36187
606	55750	36095
607	55814	35985
608	55922	35904
609	56074	35850
610	56164	35757
611	56264	35670
612	56348	35574
613	56428	35474
614	56512	35378
615	56627	35300
616	56700	35196
617	56804	35112
618	56865	35001
619	56921	34887
620	56980	34775
621	57061	34676
622	57129	34570
623	57204	34469
624	57288	34373
625	57362	34270
626	57437	34169
627	57501	34061
628	57567	33954
629	57625	33843
630	57696	33739
631	57783	33646
632	57844	33537
633	57909	33430
634	57980	33327
635	58060	33229
636	58143	33133
637	58208	33027
638	58279	32924
639	58346	32819
640	58413	32715
641	58475	32607
642	58534	32498
643	58601	32394
644	58671	32291
645	58735	32186
646	58817	32090
647	58891	31990
648	58997	31907
649	59103	31824
650	59162	31717
651	59231	31614
652	59300	31511
653	59377	31413
654	59448	31312
655	59525	31214
656	59599	31115
657	59673	31015
658	59743	30914
659	59843	30828
660	59914	30727
661	60010	30639
662	60107	30552
663	60173	30449
664	60239	30345
665	60330	30256
666	60405	30157
667	60473	30055
668	60550	29958
669	60614	29854
670	60688	29756
671	60753	29653
672	60855	29568
673	60919	29465
674	60979	29360
675	61047	29259
676	61121	29161
677	61184	29058
678	61247	28954
679	61325	28859
680	61410	28766
681	61488	28670
682	61572	28577
683	61656	28484
684	61738	28390
685	61810	28292
686	61895	28199
687	62038	28133
688	62186	28069
689	62296	27988
690	62366	27888
691	62471	27805
692	62557	27713
693	62624	27612
694	62693	27513
695	62761	27413
696	62833	27315
697	62915	27221
698	62981	27120
699	63036	27015
700	63099	26914
701	63168	26815
702	63242	26718
703	63301	26615
704	63361	26513
705	63449	26422
706	63557	26339
707	63652	26252
708	63714	26150
709	63783	26052
710	63849	25952
711	63941	25864
712	64012	25766
713	64078	25667
714	64145	25568
715	64205	25467
716	64273	25368
717	64339	25269
718	64396	25167
719	64481	25076
720	64548	24977
721	64607	24876
722	64669	24776
723	64736	24678
724	64797	24578
725	64883	24487
726	64972	24398
727	65061	24308
728	65151	24219
729	65216	24121
730	65303	24030
731	65375	23935
732	65443	23838
733	65527	23747
734	65596	23650
735	65674	23557
736	65738	23459
737	65813	23364
738	65881	23267
739	65947	23170
740	66031	23079
741	66094	22981
742	66157	22883
743	66227	22788
744	66294	22691
745	66361	22594
746	66430	22499
747	66527	22412
748	66632	22329
749	66701	22233
750	66770	22138
751	66835	22041
752	66906	21946
753	66995	21857
754	67070	21764
755	67127	21665
756	67199	21571
757	67269	21476
758	67339	21381
759	67410	21287
760	67480	21192
761	67553	21099
762	67626	21005
763	67703	20913
764	67771	20818
765	67839	20723
766	67912	20630
767	68097	20571
768	68277	20510
769	68372	20422
770	68436	20326
771	68508	20232
772	68614	20149
773	68688	20056
774	68764	19963
775	68829	19868
776	68891	19771
777	68958	19676
778	69052	19589
779	69204	19519
780	69308	19434
781	69374	19339
782	69443	19245
783	69513	19151
784	69604	19063
785	69690	18974
786	69782	18886
787	69842	18790
788	69904	18694
789	69964	18598
790	70024	18501
791	70118	18415
792	70190	18322
793	70261	18229
794	70330	18135
795	70397	18041
796	70461	17946
797	70531	17853
798	70609	17762
799	70674	17668
800	70741	17574
801	70806	17480
802	70865	17385
803	70935	17292
804	71002	17199
805	71072	17106
806	71203	17028
807	71266	16934
808	71339	16842
809	71407	16749
810	71463	16654
811	71533	16561
812	71592	16467
813	71671	16376
814	71740	16284
815	71805	16191
816	71872	16098
817	71938	16005
818	71999	15912
819	72064	15819
820	72153	15731
821	72216	15638
822	72280	15545
823	72344	15452
824	72399	15357
825	72466	15265
826	72531	15172
827	72588	15078
828	72684	14992
829	72770	14904
830	72830	14811
831	72891	14718
832	72961	14627
833	73028	14535
834	73093	14443
835	73189	14357
836	73260	14266
837	73334	14176
838	73394	14084
839	73462	13992
840	73533	13902
841	73599	13810
842	73687	13723
843	73766	13634
844	73837	13544
845	73926	13457
846	74052	13376
847	74169	13294
848	74257	13207
849	74324	13116
850	74420	13030
851	74492	12940
852	74556	12848
853	74622	12757
854	74718	12671
855	74819	12586
856	74896	12497
857	74961	12406
858	75024	12314
859	75086	12223
860	75160	12133
861	75278	12051
862	75342	11960
863	75398	11868
864	75456	11776
865	75521	11685
866	75586	11595
867	75654	11505
868	75724	11415
869	75800	11326
870	75887	11239
871	76001	11156
872	76105	11071
873	76176	10982
874	76271	10895
875	76336	10805
876	76407	10716
877	76471	10625
878	76533	10535
879	76602	10445
880	76666	10355
881	76728	10265
882	76811	10177
883	76874	10087
884	76934	9997
885	77002	9907
886	77077	9819
887	77141	9729
888	77212	9640
889	77311	9555
890	77380	9466
891	77447	9377
892	77514	9287
893	77611	9202
894	77712	9117
895	77802	9030
896	77871	8941
897	77936	8852
898	78005	8763
899	78072	8674
900	78134	8585
901	78199	8496
902	78294	8410
903	78355	8320
904	78424	8232
905	78493	8143
906	78555	8054
907	78624	7966
908	78688	7877
909	78751	7788
910	78840	7702
911	78913	7614
912	78978	7525
913	79039	7436
914	79121	7350
915	79227	7265
916	79408	7187
917	79486	7100
918	79557	7012
919	79623	6923
920	79681	6834
921	79746	6746
922	79810	6658
923	79900	6571
924	80053	6490
925	80226	6411
926	80335	6326
927	80425	6239
928	80496	6152
929	80560	6063
930	80629	5975
931	80688	5887
932	80752	5798
933	80829	5711
934	80979	5629
935	81049	5541
936	81113	5453
937	81170	5365
938	81238	5277
939	81300	5189
940	81395	5103
941	81466	5016
942	81541	4928
943	81601	4840
944	81663	4752
945	81746	4666
946	81807	4578
947	81884	4491
948	81954	4404
949	82012	4316
950	82078	4229
951	82139	4141
952	82196	4053
953	82269	3966
954	82331	3879
955	82447	3794
956	82524	3708
957	82585	3620
958	82645	3533
959	82710	3446
960	82775	3359
961	82840	3272
962	82906	3185
963	82977	3098
964	83046	3012
965	83101	2924
966	83163	2838
967	83223	2751
968	83288	2664
969	83355	2578
970	83443	2492
971	83501	2405
972	83559	2318
973	83617	2232
974	83681	2145
975	83747	2059
976	83806	1972
977	83879	1886
978	84168	1805
979	84314	1720
980	84437	1635
981	84506	1548
982	84577	1462
983	84634	1376
