iter	Logloss
0	0.5597446921
1	0.4754053195
2	0.4177762308
3	0.3811375456
4	0.3534497437
5	0.3340033794
6	0.3211981129
7	0.3108483874
8	0.3030765863
9	0.2968828848
10	0.2922046593
11	0.2885849086
12	0.2855272611
13	0.282991707
14	0.2804629962
15	0.2785689241
16	0.2769086656
17	0.2757328959
18	0.2746983478
19	0.2735544205
20	0.2728939708
21	0.2720993959
22	0.2715593813
23	0.2708977249
24	0.2703134354
25	0.2699777615
26	0.2697484671
27	0.269356099
28	0.2689960063
29	0.2685290419
30	0.2682854259
31	0.2680648294
32	0.2677191536
33	0.2674819731
34	0.2673045524
35	0.2671295341
36	0.2669175325
37	0.2667220283
38	0.2665900965
39	0.2664561763
40	0.2663195525
41	0.2661529819
42	0.2659796105
43	0.2658126872
44	0.265660137
45	0.2655247496
46	0.2653880904
47	0.2652263216
48	0.2650486568
49	0.264935924
50	0.2647905313
51	0.2647234149
52	0.2646346896
53	0.2644910818
54	0.2643773365
55	0.2642869168
56	0.2641652708
57	0.2640877965
58	0.2640043766
59	0.2639084936
60	0.2638148905
61	0.2637513025
62	0.263652594
63	0.2635915743
64	0.2634967095
65	0.263426093
66	0.2633428325
67	0.2632675963
68	0.263166503
69	0.2630950854
70	0.2630330319
71	0.2629551441
72	0.2628956852
73	0.2628126733
74	0.2627505859
75	0.2626955395
76	0.2626178279
77	0.2625613972
78	0.262519374
79	0.2624445088
80	0.2623888102
81	0.2623298184
82	0.262256628
83	0.2622041004
84	0.262161542
85	0.262118131
86	0.2620715665
87	0.2620313023
88	0.2619849996
89	0.2619447459
90	0.2618998801
91	0.2618582571
92	0.2618153766
93	0.2617483479
94	0.2617341257
95	0.2616823568
96	0.2616311619
97	0.261601325
98	0.2615474762
99	0.2615042816
100	0.2614834401
101	0.2614413921
102	0.2614157922
103	0.2613642584
104	0.2613069653
105	0.2612715253
106	0.2612238295
107	0.2611859842
108	0.2611758581
109	0.2611196249
110	0.2610886709
111	0.2610425167
112	0.2610040304
113	0.2609569047
114	0.2609107335
115	0.2608575828
116	0.2607944983
117	0.2607341551
118	0.2606731602
119	0.2606315253
120	0.2605823683
121	0.2605483392
122	0.2604897411
123	0.2604251257
124	0.2603659517
125	0.2603242918
126	0.2602967292
127	0.2602500665
128	0.260209497
129	0.26017479
130	0.2601409715
131	0.2601013666
132	0.2600526151
133	0.2599991924
134	0.2599649813
135	0.2599352149
136	0.2598865148
137	0.25985783
138	0.2598234666
139	0.2597776305
140	0.2597502825
141	0.2597145181
142	0.2596590748
143	0.2596132968
144	0.2595696376
145	0.2595196576
146	0.2594814126
147	0.2594547363
148	0.2594280701
149	0.2593753486
150	0.2593414351
151	0.259314189
152	0.2592546078
153	0.259211054
154	0.2591802148
155	0.2591316197
156	0.2590775618
157	0.2590505145
158	0.259008981
159	0.2589591111
160	0.2589382872
161	0.2589113231
162	0.2588661059
163	0.258837435
164	0.2587818609
165	0.2587452223
166	0.2587173611
167	0.2586725561
168	0.2586358816
169	0.258595158
170	0.2585668083
171	0.2585490333
172	0.2585049006
173	0.2584951553
174	0.2584559614
175	0.2584372522
176	0.2583555913
177	0.2583039197
178	0.2582768972
179	0.2582298191
180	0.2582126789
181	0.2581710588
182	0.2581159535
183	0.2580985876
184	0.2580005486
185	0.2579864498
186	0.2579430618
187	0.2578932759
188	0.2578492108
189	0.2578467685
190	0.2578028092
191	0.2577969149
192	0.2577402831
193	0.2577078659
194	0.2576702731
195	0.2576484623
196	0.2576184008
197	0.2576109984
198	0.2575610805
199	0.2575153785
200	0.2574760616
201	0.2574221776
202	0.2574194302
203	0.2574092327
204	0.2573675212
205	0.2573533809
206	0.2573149038
207	0.257270441
208	0.2572190863
209	0.2571750037
210	0.2571528046
211	0.2571505504
212	0.2571127579
213	0.2570757078
214	0.2570219819
215	0.2569860826
216	0.2569513849
217	0.2569127156
218	0.2568809773
219	0.2568372646
220	0.2568095727
221	0.2567815244
222	0.2567350813
223	0.2567307627
224	0.2566524449
225	0.2566172231
226	0.2565694585
227	0.256533683
228	0.2564849922
229	0.2564576682
230	0.2564165653
231	0.2564065979
232	0.2563685443
233	0.256336766
234	0.2563112869
235	0.2562659403
236	0.2562399341
237	0.2561955003
238	0.2561913093
239	0.2561824033
240	0.2561503265
241	0.2561031277
242	0.2560507171
243	0.2560088973
244	0.2559582956
245	0.2559241319
246	0.2558724244
247	0.255836073
248	0.2557987648
249	0.2557664445
250	0.2557222424
251	0.2556779704
252	0.2556519043
253	0.2555908541
254	0.2555696451
255	0.255567512
256	0.255539258
257	0.2555003566
258	0.2554872602
259	0.2554556446
260	0.2554219508
261	0.2553766531
262	0.2553448792
263	0.2552923159
264	0.255290411
265	0.255267469
266	0.2552399251
267	0.2552031833
268	0.2551572984
269	0.2551242428
270	0.2551115799
271	0.2550852477
272	0.2550513585
273	0.2550318364
274	0.2550009723
275	0.254968646
276	0.2549385239
277	0.2548996889
278	0.2548721029
279	0.2548257285
280	0.2548084336
281	0.2547622495
282	0.2547286809
283	0.2546870099
284	0.254662459
285	0.2546099542
286	0.2545793726
287	0.2545713199
288	0.2545238357
289	0.2545152565
290	0.2544623482
291	0.2544202846
292	0.2544045924
293	0.2543851384
294	0.2543523778
295	0.2543247237
296	0.254296274
297	0.2542815862
298	0.2542702162
299	0.2542279931
300	0.2542022366
301	0.2541617292
302	0.2541313392
303	0.2541224776
304	0.2540920846
305	0.2540741652
306	0.2540475271
307	0.2540463544
308	0.2540123461
309	0.2539907208
310	0.2539666121
311	0.2539333207
312	0.253902254
313	0.2538733924
314	0.253872103
315	0.2538463972
316	0.2538116842
317	0.2537843475
318	0.2537831059
319	0.2537486361
320	0.2537029617
321	0.253677741
322	0.2536479639
323	0.2536198285
324	0.2536042814
325	0.2535591999
326	0.2535381144
327	0.2534966401
328	0.2534564318
