iter	Passed	Remaining
0	82	82016
1	98	49399
2	110	36640
3	120	30103
4	135	26924
5	147	24511
6	162	23059
7	172	21427
8	187	20657
9	199	19707
10	212	19065
11	224	18514
12	236	17961
13	248	17523
14	260	17080
15	269	16604
16	281	16291
17	293	15996
18	305	15796
19	318	15589
20	329	15351
21	338	15067
22	350	14905
23	363	14763
24	376	14689
25	389	14593
26	402	14517
27	415	14412
28	426	14290
29	436	14124
30	449	14055
31	465	14092
32	480	14078
33	497	14128
34	512	14136
35	525	14078
36	535	13925
37	547	13859
38	558	13762
39	571	13727
40	583	13657
41	599	13684
42	612	13625
43	625	13589
44	635	13493
45	646	13407
46	657	13334
47	668	13266
48	679	13192
49	696	13226
50	708	13174
51	721	13147
52	730	13045
53	743	13032
54	755	12980
55	764	12891
56	774	12821
57	784	12740
58	798	12740
59	809	12686
60	820	12637
61	829	12554
62	840	12505
63	853	12479
64	864	12432
65	875	12394
66	893	12436
67	903	12384
68	913	12325
69	927	12318
70	937	12269
71	948	12221
72	958	12169
73	969	12134
74	981	12107
75	998	12135
76	1008	12094
77	1023	12098
78	1040	12131
79	1055	12137
80	1071	12160
81	1279	14326
82	1296	14326
83	1308	14269
84	1319	14206
85	1333	14173
86	1349	14165
87	1370	14201
88	1385	14179
89	1395	14112
90	1406	14054
91	1417	13985
92	1426	13909
93	1439	13875
94	1465	13963
95	1475	13892
96	1490	13877
97	1509	13895
98	1519	13828
99	1531	13782
100	1548	13782
101	1563	13766
102	1576	13727
103	1612	13890
104	1634	13928
105	1675	14132
106	1710	14275
107	1732	14306
108	1748	14292
109	1759	14232
110	1771	14185
111	1783	14141
112	1828	14351
113	1853	14407
114	1875	14429
115	1911	14565
116	1921	14497
117	1931	14438
118	1958	14496
119	1969	14444
120	1984	14415
121	2007	14450
122	2034	14505
123	2051	14491
124	2073	14516
125	2123	14731
126	2239	15395
127	2253	15354
128	2281	15404
129	2327	15577
130	2341	15534
131	2360	15521
132	2403	15668
133	2420	15644
134	2436	15614
135	2450	15569
136	2471	15567
137	2490	15557
138	2512	15565
139	2538	15590
140	2557	15580
141	2599	15708
142	2619	15700
143	2633	15651
144	2643	15587
145	2671	15624
146	2701	15677
147	2717	15643
148	2730	15592
149	2739	15522
150	2751	15467
151	2760	15402
152	2772	15348
153	2790	15330
154	2804	15289
155	2816	15238
156	2831	15201
157	2842	15148
158	2851	15084
159	2862	15030
160	2872	14970
161	2888	14943
162	2899	14890
163	2911	14841
164	2922	14787
165	2962	14884
166	2987	14904
167	3003	14873
168	3018	14844
169	3034	14813
170	3044	14761
171	3054	14706
172	3102	14832
173	3187	15129
174	3205	15111
175	3220	15077
176	3233	15035
177	3268	15095
178	3285	15070
179	3298	15026
180	3310	14978
181	3321	14926
182	3331	14874
183	3342	14824
184	3362	14814
185	3392	14845
186	3417	14858
187	3436	14844
188	3454	14825
189	3475	14814
190	3505	14849
191	3519	14812
192	3546	14827
193	3566	14819
194	3976	16415
195	4001	16415
196	4050	16510
197	4513	18281
198	4543	18288
199	4577	18309
200	4590	18249
201	4619	18250
202	4641	18223
203	4679	18257
204	4698	18221
205	4727	18219
206	4749	18194
207	4787	18227
208	4827	18269
209	4896	18420
210	4967	18574
211	5015	18642
212	5075	18751
213	5101	18739
214	5130	18733
215	5146	18681
216	5205	18784
217	5412	19415
218	5565	19848
219	5606	19878
220	5642	19887
221	5691	19947
222	5772	20111
223	6083	21075
224	6125	21100
225	6225	21321
226	6247	21274
227	6280	21265
228	6369	21444
229	6390	21394
230	6413	21349
231	6426	21272
232	6441	21205
233	6463	21157
234	6474	21075
235	6501	21046
236	6517	20983
237	6531	20911
238	6547	20847
239	6572	20812
240	6586	20742
241	6616	20725
242	6634	20666
243	6664	20647
244	6675	20570
245	6687	20498
246	6712	20464
247	6736	20428
248	6755	20373
249	6767	20302
250	6784	20244
251	6797	20177
252	6817	20129
253	6838	20086
254	6863	20051
255	6883	20005
256	6917	19998
257	6932	19938
258	6961	19915
259	6969	19836
260	6986	19782
261	7000	19719
262	7013	19653
263	7029	19596
264	7045	19540
265	7059	19481
266	7076	19427
267	7090	19367
268	7100	19296
269	7115	19238
270	7133	19188
271	7146	19126
272	7162	19073
273	7183	19033
274	7196	18973
275	7208	18908
276	7216	18835
277	7228	18772
278	7238	18705
279	7248	18639
280	7264	18587
281	7280	18536
282	7291	18474
283	7307	18422
284	7328	18386
285	7353	18356
286	7398	18380
287	7665	18950
288	7719	18991
289	7881	19296
290	7934	19332
291	7984	19360
292	8030	19377
293	8071	19381
294	8085	19323
295	8100	19265
296	8128	19240
297	8145	19189
298	8166	19146
299	8184	19096
300	8210	19067
301	8223	19007
302	8231	18935
303	8246	18879
304	8268	18841
305	8283	18786
306	8339	18825
307	8347	18755
308	8364	18703
309	8376	18644
310	8390	18587
311	8405	18535
312	8417	18474
313	8431	18419
314	8476	18431
315	8512	18424
316	8661	18661
317	8692	18643
318	8715	18605
319	8736	18565
320	8758	18527
321	8778	18483
322	8792	18429
323	8825	18414
324	8843	18366
325	8869	18337
326	8880	18276
327	8898	18230
328	8910	18173
329	8922	18115
330	8941	18072
331	8965	18038
332	8978	17983
333	8993	17933
334	9007	17880
335	9019	17823
336	9034	17774
337	9050	17726
338	9062	17671
339	9086	17638
340	9112	17610
341	9136	17579
342	9153	17532
343	9166	17479
344	9182	17434
345	9200	17389
346	9217	17345
347	9228	17290
348	9247	17249
349	9257	17192
350	9270	17141
351	9454	17405
352	9490	17393
353	9507	17350
354	9520	17298
355	9535	17250
356	9549	17200
357	9559	17142
358	9575	17097
359	9585	17040
360	9598	16990
361	9616	16948
362	9631	16901
363	9646	16854
364	9662	16809
365	9680	16769
366	9691	16715
367	9700	16659
368	9711	16606
369	9722	16555
370	9737	16508
371	9751	16462
372	9768	16421
373	9783	16375
374	9798	16330
375	9810	16280
376	9818	16226
377	9830	16175
378	9845	16132
379	9862	16091
380	9880	16053
381	9895	16009
382	9909	15964
383	9918	15911
384	9930	15862
385	9942	15815
386	9955	15768
387	9976	15735
388	9987	15688
389	9998	15638
390	10010	15592
391	10028	15553
392	10039	15506
393	10049	15456
394	10064	15415
395	10077	15371
396	10094	15332
397	10108	15289
398	10122	15246
399	10134	15201
400	10152	15165
401	10171	15130
402	10185	15089
403	10196	15041
404	10212	15003
405	10224	14958
406	10233	14910
407	10244	14864
408	10260	14826
409	10274	14785
410	10286	14741
411	10295	14693
412	10314	14660
413	10333	14626
414	10362	14607
415	10385	14580
416	10396	14535
417	10407	14490
418	10422	14452
419	10432	14406
420	10442	14361
421	10458	14325
422	10473	14286
423	10484	14243
424	10495	14200
425	10510	14162
426	10529	14129
427	10545	14094
428	10563	14060
429	10574	14017
430	10589	13980
431	10604	13942
432	10617	13903
433	10632	13866
434	10644	13824
435	10659	13788
436	10670	13746
437	10683	13708
438	10695	13667
439	10706	13627
440	10723	13592
441	10742	13561
442	10761	13531
443	10787	13508
444	10802	13472
445	10817	13436
446	10828	13395
447	10843	13360
448	10867	13335
449	10887	13307
450	10903	13272
451	10921	13240
452	10934	13203
453	10948	13167
454	10958	13126
455	10970	13088
456	10983	13049
457	10996	13012
458	11014	12981
459	11026	12944
460	11037	12904
461	11051	12869
462	11070	12839
463	11085	12805
464	11099	12769
465	11112	12734
466	11125	12697
467	11140	12663
468	11149	12623
469	11161	12586
470	11176	12552
471	11184	12511
472	11196	12474
473	11209	12438
474	11226	12408
475	11239	12372
476	11251	12337
477	11268	12305
478	11280	12269
479	11292	12234
480	11302	12195
481	11311	12156
482	11321	12117
483	11336	12086
484	11371	12075
485	11395	12051
486	11407	12016
487	11418	11980
488	11441	11956
489	11465	11933
490	11479	11900
491	11492	11866
492	11507	11833
493	11524	11804
494	11539	11772
495	11597	11784
496	11644	11785
497	11681	11774
498	11698	11745
499	11725	11725
500	11746	11699
501	11762	11669
502	11777	11637
503	11793	11606
504	11805	11571
505	11821	11541
506	11841	11514
507	11867	11493
508	11885	11465
509	11899	11432
510	11911	11398
511	11924	11365
512	11936	11331
513	11959	11307
514	11988	11290
515	12042	11295
516	12069	11275
517	12082	11243
518	12102	11216
519	12166	11231
520	12192	11209
521	12222	11192
522	12237	11161
523	12256	11134
524	12273	11104
525	12288	11073
526	12306	11045
527	12322	11015
528	12339	10986
529	12366	10966
530	12389	10943
531	12419	10925
532	12435	10896
533	12446	10861
534	12463	10832
535	12481	10804
536	12491	10770
537	12507	10740
538	12521	10709
539	12533	10677
540	12552	10649
541	12570	10622
542	12609	10612
543	12626	10584
544	12653	10564
545	12674	10538
546	12698	10516
547	12718	10490
548	12734	10461
549	12749	10431
550	12763	10400
551	12783	10375
552	12798	10344
553	12812	10314
554	12828	10286
555	12844	10257
556	12857	10225
557	12881	10203
558	12901	10178
559	12923	10154
560	12960	10142
561	12983	10118
562	12999	10090
563	13011	10058
564	13022	10026
565	13036	9995
566	13048	9965
567	13071	9941
568	13085	9911
569	13098	9881
570	13113	9852
571	13129	9823
572	13142	9793
573	13170	9774
574	13183	9744
575	13196	9714
576	13210	9684
577	13226	9656
578	13240	9627
579	13256	9599
580	13274	9573
581	13286	9542
582	13298	9511
583	13310	9481
584	13321	9450
585	13333	9419
586	13348	9391
587	13361	9362
588	13374	9332
589	13397	9309
590	13421	9288
591	13435	9259
592	13445	9228
593	13468	9205
594	13480	9175
595	13499	9150
596	13509	9119
597	13521	9089
598	13536	9061
599	13553	9035
600	13577	9013
601	13592	8986
602	13612	8961
603	13631	8936
604	13642	8907
605	13667	8886
606	13680	8857
607	13692	8827
608	13708	8801
609	13724	8774
610	13736	8745
611	13749	8716
612	13770	8693
613	13780	8663
614	13789	8632
615	13803	8604
616	13818	8577
617	13831	8549
618	13846	8522
619	13864	8497
620	13877	8469
621	13896	8445
622	13914	8420
623	13928	8392
624	13940	8364
625	13959	8339
626	13969	8310
627	13985	8284
628	14000	8258
629	14011	8229
630	14024	8201
631	14035	8172
632	14052	8147
633	14068	8121
634	14083	8095
635	14101	8070
636	14122	8047
637	14211	8063
638	14250	8050
639	14313	8051
640	14509	8126
641	14527	8101
642	14547	8076
643	14570	8054
644	14582	8025
645	14600	8000
646	14613	7973
647	14626	7945
648	14640	7918
649	14659	7893
650	14674	7866
651	14689	7840
652	14707	7815
653	14717	7786
654	14730	7758
655	14747	7733
656	14774	7713
657	14797	7691
658	14816	7666
659	14839	7644
660	14857	7619
661	14872	7593
662	14887	7567
663	14914	7547
664	14930	7521
665	14940	7492
666	14960	7469
667	14978	7444
668	14996	7419
669	15015	7395
670	15028	7368
671	15040	7341
672	15062	7318
673	15076	7292
674	15090	7266
675	15105	7239
676	15117	7212
677	15130	7185
678	15142	7158
679	15159	7133
680	15175	7108
681	15191	7083
682	15217	7062
683	15227	7034
684	15240	7008
685	15267	6988
686	15285	6964
687	15309	6942
688	15354	6930
689	15395	6916
690	15487	6925
691	15515	6905
692	15541	6885
693	15579	6869
694	15606	6848
695	15644	6833
696	15672	6812
697	15687	6787
698	15705	6763
699	15753	6751
700	15767	6725
701	15778	6698
702	15800	6675
703	15813	6648
704	15828	6623
705	15841	6596
706	15863	6574
707	15873	6546
708	15899	6525
709	15935	6509
710	15968	6490
711	16012	6476
712	16027	6451
713	16038	6424
714	16051	6398
715	16073	6375
716	16104	6356
717	16298	6401
718	16333	6383
719	16360	6362
720	16379	6338
721	16393	6312
722	16406	6285
723	16420	6259
724	16444	6237
725	16487	6222
726	16498	6195
727	16515	6170
728	16542	6149
729	16579	6132
730	16593	6106
731	16612	6082
732	16627	6056
733	16636	6029
734	16646	6001
735	16660	5975
736	16674	5950
737	16700	5929
738	16727	5907
739	16746	5883
740	16764	5859
741	16787	5837
742	16804	5812
743	16821	5788
744	16838	5763
745	16859	5740
746	16892	5721
747	16943	5708
748	16992	5694
749	17033	5677
750	17059	5656
751	17081	5633
752	17100	5609
753	17119	5585
754	17182	5575
755	17221	5558
756	17237	5533
757	17250	5507
758	17268	5483
759	17285	5458
760	17317	5438
761	17336	5414
762	17351	5389
763	17368	5365
764	17382	5339
765	17396	5314
766	17406	5287
767	17438	5267
768	17468	5247
769	17519	5233
770	17539	5209
771	17564	5187
772	17584	5163
773	17601	5139
774	17631	5118
775	17644	5093
776	17660	5068
777	17683	5045
778	17731	5030
779	17780	5014
780	18212	5106
781	18244	5085
782	18337	5081
783	18362	5059
784	18545	5079
785	18621	5070
786	18707	5063
787	18736	5040
