iter	Passed	Remaining
0	7	7626
1	19	9715
2	29	9808
3	38	9555
4	47	9498
5	56	9413
6	63	8980
7	72	9030
8	81	8983
9	94	9392
10	141	12750
11	155	12827
12	165	12537
13	174	12300
14	184	12118
15	193	11929
16	204	11796
17	212	11619
18	222	11500
19	232	11391
20	241	11266
21	251	11175
22	260	11055
23	269	10963
24	276	10764
25	285	10681
26	294	10617
27	303	10547
28	314	10522
29	323	10460
30	333	10408
31	341	10345
32	351	10308
33	360	10252
34	369	10200
35	379	10171
36	386	10070
37	398	10088
38	408	10056
39	417	10030
40	427	9988
41	436	9956
42	446	9941
43	455	9906
44	463	9838
45	472	9804
46	481	9770
47	491	9746
48	511	9918
49	532	10116
50	550	10237
51	566	10331
52	580	10366
53	591	10366
54	605	10395
55	620	10452
56	632	10457
57	645	10479
58	656	10467
59	667	10461
60	679	10452
61	689	10436
62	702	10449
63	713	10433
64	726	10450
65	737	10437
66	749	10433
67	763	10462
68	775	10467
69	786	10454
70	801	10490
71	811	10460
72	820	10425
73	830	10387
74	841	10375
75	849	10332
76	859	10302
77	868	10264
78	878	10237
79	889	10223
80	902	10239
81	913	10224
82	922	10191
83	931	10161
84	941	10133
85	950	10102
86	959	10069
87	968	10037
88	977	10008
89	987	9989
90	997	9964
91	1012	9991
92	1023	9984
93	1035	9975
94	1046	9971
95	1058	9963
96	1073	9995
97	1084	9983
98	1097	9988
99	1128	10156
100	1153	10271
101	1379	12146
102	1441	12556
103	1530	13189
104	1559	13291
105	1572	13265
106	1585	13229
107	1609	13294
108	1660	13573
109	1747	14138
110	1817	14554
111	1844	14626
112	1872	14698
113	1901	14774
114	1929	14852
115	1961	14947
116	1974	14903
117	1997	14927
118	2014	14917
119	2026	14859
120	2037	14798
121	2054	14783
122	2063	14715
123	2073	14647
124	2090	14631
125	2104	14596
126	2116	14546
127	2126	14489
128	2149	14510
129	2173	14548
130	2210	14663
131	2221	14607
132	2234	14564
133	2244	14508
134	2254	14445
135	2264	14385
136	2276	14337
137	2315	14460
138	2341	14506
139	2356	14477
140	2365	14413
141	2375	14351
142	2384	14291
143	2395	14238
144	2413	14228
145	2429	14212
146	2441	14167
147	2459	14158
148	2471	14116
149	2503	14186
150	2522	14180
151	2540	14171
152	2558	14164
153	2569	14117
154	2579	14061
155	2591	14023
156	2605	13991
157	2615	13936
158	2638	13957
159	2685	14099
160	2710	14123
161	2725	14099
162	2755	14151
163	2771	14130
164	2791	14128
165	2803	14083
166	2816	14050
167	2851	14120
168	2865	14091
169	2887	14099
170	2899	14054
171	2908	13999
172	2917	13946
173	2938	13947
174	2948	13900
175	2957	13848
176	2966	13792
177	2978	13753
178	2990	13714
179	2999	13666
180	3008	13615
181	3019	13570
182	3031	13534
183	3041	13488
184	3052	13445
185	3062	13400
186	3074	13365
187	3088	13337
188	3103	13318
189	3119	13298
190	3137	13289
191	3151	13260
192	3168	13249
193	3200	13298
194	3213	13265
195	3235	13273
196	3245	13230
197	3258	13198
198	3277	13191
199	3294	13177
200	3307	13149
201	3325	13137
202	3342	13122
203	3352	13080
204	3362	13039
205	3374	13005
206	3385	12969
207	3394	12924
208	3406	12892
209	3416	12852
210	3426	12813
211	3447	12814
212	3457	12773
213	3474	12761
214	3491	12748
215	3501	12710
216	3513	12677
217	3525	12647
218	3541	12630
219	3552	12596
220	3569	12581
221	3591	12586
222	3607	12568
223	3619	12539
224	3648	12566
225	3662	12544
226	3674	12513
227	3686	12483
228	3695	12440
229	3704	12402
230	3714	12363
231	3722	12324
232	3737	12304
233	3755	12293
234	3767	12265
235	3777	12229
236	3787	12194
237	3796	12155
238	3805	12116
239	3813	12077
240	3823	12040
241	3836	12016
242	3846	11981
243	3855	11947
244	3868	11922
245	3894	11935
246	3909	11917
247	3936	11935
248	3949	11912
249	4006	12019
250	4034	12037
251	4048	12016
252	4107	12128
253	4136	12148
254	4152	12131
255	4176	12137
256	4199	12142
257	4225	12152
258	4235	12117
259	4248	12091
260	4262	12070
261	4274	12040
262	4283	12003
263	4292	11965
264	4300	11928
265	4314	11906
266	4327	11879
267	4351	11884
268	4379	11900
269	4390	11871
270	4402	11842
271	4414	11815
272	4427	11789
273	4436	11754
274	4445	11718
275	4455	11688
276	4470	11669
277	4480	11635
278	4490	11603
279	4501	11575
280	4512	11546
