iter	Passed	Remaining
0	28	28313
1	53	26853
2	93	31189
3	121	30295
4	163	32551
5	192	31868
6	233	33145
7	308	38266
8	378	41724
9	396	39283
10	423	38099
11	445	36717
12	469	35625
13	492	34720
14	514	33781
15	536	33009
16	556	32203
17	583	31817
18	603	31163
19	626	30701
20	648	30244
21	674	29993
22	699	29734
23	740	30129
24	771	30083
25	814	30495
26	852	30720
27	874	30340
28	894	29964
29	923	29848
30	978	30573
31	1006	30438
32	1035	30357
33	1078	30631
34	1125	31033
35	1150	30798
36	1173	30549
37	1204	30504
38	1232	30372
39	1283	30802
40	1325	31013
41	1347	30738
42	1367	30428
43	1385	30103
44	1422	30183
45	1451	30101
46	1474	29894
47	1504	29829
48	1526	29626
49	1554	29527
50	1575	29313
51	1594	29062
52	1612	28808
53	1633	28608
54	1652	28399
55	1680	28331
56	1726	28557
57	1790	29073
58	1817	28983
59	1851	29002
60	1881	28969
61	1905	28826
62	1934	28766
63	1962	28694
64	1985	28565
65	2007	28412
66	2035	28340
67	2057	28195
68	2087	28165
69	2116	28116
70	2137	27970
71	2161	27856
72	2187	27782
73	2209	27651
74	2229	27494
75	2270	27600
76	2300	27572
77	2322	27458
78	2343	27315
79	2363	27182
80	2385	27066
81	2405	26933
82	2434	26892
83	2459	26824
84	2483	26734
85	2504	26616
86	2530	26550
87	2564	26578
88	2584	26450
89	2611	26403
90	2638	26356
91	2678	26438
92	2715	26486
93	2747	26478
94	2775	26444
95	2806	26426
96	2833	26381
97	2858	26311
98	2879	26204
99	2897	26077
100	2933	26110
101	2966	26114
102	2984	25988
103	3008	25918
104	3029	25819
105	3048	25712
106	3069	25621
107	3091	25536
108	3112	25444
109	3133	25355
110	3153	25255
111	3171	25145
112	3189	25035
113	3211	24956
114	3233	24881
115	3271	24934
116	3314	25018
117	3334	24926
118	3359	24872
119	3376	24761
120	3398	24685
121	3419	24612
122	3446	24576
123	3483	24607
124	3516	24618
125	3545	24590
126	3569	24539
127	3588	24445
128	3614	24403
129	3632	24312
130	3662	24292
131	3685	24237
132	3709	24179
133	3731	24113
134	3753	24048
135	3780	24020
136	3815	24036
137	3840	23987
138	3872	23988
139	3915	24054
140	3957	24111
141	3983	24071
142	4008	24021
143	4026	23935
144	4049	23878
145	4069	23803
146	4095	23765
147	4117	23701
148	4141	23655
149	4172	23642
150	4203	23632
151	4224	23568
152	4255	23559
153	4305	23653
154	4325	23582
155	4351	23540
156	4374	23488
157	4400	23451
158	4418	23369
159	4437	23298
160	4463	23262
161	4484	23197
162	4512	23170
163	4530	23093
164	4555	23054
165	4574	22980
166	4598	22936
167	4621	22887
168	4645	22844
169	4664	22773
170	4710	22835
171	4750	22870
172	4772	22815
173	4797	22772
174	4816	22705
175	4838	22653
176	4859	22596
177	4882	22548
178	4901	22481
179	4923	22430
180	4942	22365
181	4962	22305
182	4983	22247
183	5002	22185
184	5019	22113
185	5043	22070
186	5062	22010
187	5104	22048
188	5141	22063
189	5178	22076
190	5203	22038
191	5259	22132
192	5285	22100
193	5343	22200
194	5374	22186
195	5392	22118
196	5413	22066
197	5441	22039
198	5466	22001
199	5488	21955
200	5508	21897
201	5531	21851
202	5569	21868
203	5610	21891
204	5650	21913
205	5693	21946
206	5711	21880
207	5735	21838
208	5759	21799
209	5794	21796
210	5821	21767
211	5846	21732
212	5886	21749
213	5907	21697
214	5927	21642
215	5945	21580
216	5965	21524
217	5990	21489
218	6008	21429
219	6037	21405
220	6064	21377
221	6095	21360
222	6116	21311
223	6136	21260
224	6153	21194
225	6174	21147
226	6196	21102
227	6218	21055
228	6267	21100
229	6297	21083
230	6328	21069
231	6370	21088
232	6398	21064
233	6428	21042
234	6458	21024
235	6486	20999
236	6514	20972
237	6547	20962
238	6573	20929
239	6599	20899
240	6632	20889
241	6671	20897
242	6708	20898
243	6741	20888
244	6760	20832
245	6788	20806
246	6809	20760
247	6832	20719
248	6863	20701
249	6892	20676
250	6911	20623
251	6931	20574
252	6955	20535
253	6978	20496
254	6998	20447
255	7027	20423
256	7051	20386
257	7081	20364
258	7105	20328
259	7138	20316
260	7160	20273
261	7188	20249
262	7209	20202
263	7234	20169
264	7255	20123
265	7284	20102
266	7310	20070
267	7343	20056
268	7381	20058
269	7403	20018
270	7427	19979
271	7449	19939
272	7473	19900
273	7496	19862
274	7528	19848
275	7549	19803
276	7576	19774
277	7602	19745
278	7634	19730
279	7668	19717
280	7697	19695
281	7729	19680
282	7751	19638
283	7781	19617
284	7800	19569
285	7830	19548
286	7860	19527
287	7891	19508
288	7923	19492
289	7949	19462
290	7975	19430
291	7998	19392
292	8025	19365
293	8046	19323
294	8071	19289
295	8092	19248
296	8115	19209
297	8135	19165
298	8162	19136
299	8182	19092
300	8210	19067
301	8246	19060
302	8291	19073
303	8399	19230
304	8428	19206
305	8463	19195
306	8490	19165
307	8515	19133
308	8536	19090
309	8562	19059
310	8582	19014
311	8607	18981
312	8629	18939
313	8653	18904
314	8676	18868
315	8698	18827
316	8729	18808
317	8758	18784
318	8784	18753
319	8814	18729
320	8835	18689
321	8864	18665
322	8889	18631
323	8913	18597
324	8934	18555
325	8960	18524
326	8981	18484
327	9002	18443
328	9021	18399
329	9045	18366
330	9075	18343
331	9108	18327
332	9139	18305
333	9169	18283
334	9196	18255
335	9221	18223
336	9242	18183
337	9268	18153
338	9288	18111
339	9319	18090
340	9338	18047
341	9366	18021
342	9397	17999
343	9431	17985
344	9455	17951
345	9476	17911
346	9494	17866
347	9518	17833
348	9537	17790
349	9570	17774
350	9596	17743
351	9619	17708
352	9639	17668
353	9663	17634
354	9682	17591
