,id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
10651352,10651352,Female,53,1,28.0,1,1-2 Year,No,33708.0,26.0,105,0
10561278,10561278,Female,69,1,28.0,1,1-2 Year,No,50512.0,26.0,59,0
7434223,7434223,Female,49,1,50.0,0,1-2 Year,Yes,40409.0,124.0,103,0
2828862,2828862,Male,36,1,28.0,0,1-2 Year,Yes,34347.0,122.0,118,0
407142,407142,Female,78,1,50.0,1,1-2 Year,No,21859.0,8.0,155,0
4288495,4288495,Male,47,1,28.0,0,1-2 Year,Yes,35341.0,26.0,215,0
8118134,8118134,Male,52,1,8.0,0,> 2 Years,Yes,43438.0,124.0,234,0
5155247,5155247,Male,21,1,13.0,1,< 1 Year,No,31405.0,160.0,164,0
9395864,9395864,Female,31,1,39.0,0,< 1 Year,Yes,26366.0,124.0,26,1
715644,715644,Female,44,1,28.0,0,1-2 Year,Yes,33243.0,122.0,86,0
3450684,3450684,Female,45,1,28.0,0,1-2 Year,Yes,51601.0,26.0,131,1
2869215,2869215,Female,76,1,24.0,0,1-2 Year,Yes,31249.0,124.0,114,0
10826020,10826020,Female,41,1,28.0,0,1-2 Year,Yes,33995.0,26.0,83,1
8449289,8449289,Male,45,1,28.0,0,1-2 Year,Yes,30041.0,26.0,249,0
7070349,7070349,Male,55,1,28.0,1,1-2 Year,No,70815.0,55.0,71,0
6538646,6538646,Male,55,1,28.0,0,1-2 Year,Yes,47738.0,124.0,65,0
10393451,10393451,Male,52,1,18.0,0,1-2 Year,Yes,30161.0,26.0,267,0
7559902,7559902,Male,51,1,17.0,0,1-2 Year,Yes,2630.0,154.0,222,0
1735509,1735509,Male,43,1,18.0,0,1-2 Year,Yes,38932.0,124.0,80,0
8399438,8399438,Male,28,1,46.0,0,< 1 Year,Yes,27681.0,152.0,187,1
10351134,10351134,Male,56,1,10.0,0,1-2 Year,Yes,25865.0,152.0,234,0
9815316,9815316,Male,56,1,50.0,0,> 2 Years,Yes,47101.0,124.0,109,0
8985013,8985013,Female,27,1,28.0,1,< 1 Year,No,49529.0,152.0,261,0
883817,883817,Male,21,1,8.0,0,< 1 Year,No,35651.0,152.0,298,0
10136534,10136534,Male,41,1,41.0,0,1-2 Year,Yes,51355.0,26.0,227,0
6469700,6469700,Female,29,1,28.0,1,< 1 Year,No,38728.0,152.0,172,0
5454948,5454948,Male,30,1,8.0,1,< 1 Year,No,42549.0,152.0,125,0
10802063,10802063,Female,38,1,3.0,0,1-2 Year,Yes,36262.0,124.0,292,1
386438,386438,Female,23,1,15.0,1,< 1 Year,No,49860.0,152.0,24,0
3031410,3031410,Male,75,1,29.0,0,1-2 Year,Yes,56437.0,26.0,31,1
3016519,3016519,Male,23,1,50.0,0,< 1 Year,No,34536.0,152.0,271,0
8764795,8764795,Male,26,1,3.0,1,< 1 Year,No,2630.0,26.0,89,0
8733881,8733881,Male,66,1,46.0,0,> 2 Years,Yes,2630.0,26.0,179,1
993122,993122,Male,24,1,47.0,1,< 1 Year,No,32979.0,152.0,214,0
8968595,8968595,Female,22,1,28.0,0,< 1 Year,Yes,45282.0,152.0,298,0
8300864,8300864,Male,25,1,2.0,1,< 1 Year,No,23777.0,152.0,37,0
5866943,5866943,Female,35,1,28.0,1,1-2 Year,No,45254.0,26.0,146,0
5311963,5311963,Female,37,1,43.0,0,1-2 Year,Yes,30046.0,157.0,232,1
5359990,5359990,Male,50,1,18.0,0,1-2 Year,Yes,33998.0,124.0,144,1
3721149,3721149,Female,24,1,29.0,1,< 1 Year,No,38754.0,152.0,126,0
10723626,10723626,Male,22,1,46.0,1,< 1 Year,No,24307.0,160.0,139,0
9054136,9054136,Male,44,1,28.0,0,1-2 Year,Yes,35880.0,26.0,37,1
2857454,2857454,Female,20,1,30.0,0,< 1 Year,Yes,28720.0,160.0,96,0
5392518,5392518,Female,38,1,28.0,0,1-2 Year,Yes,2630.0,152.0,189,0
8280566,8280566,Male,74,1,47.0,1,1-2 Year,No,40700.0,124.0,241,0
8618846,8618846,Male,26,1,8.0,1,< 1 Year,No,36484.0,152.0,92,0
8764350,8764350,Female,24,1,29.0,1,< 1 Year,No,39475.0,152.0,271,0
845053,845053,Female,54,1,38.0,0,> 2 Years,Yes,31207.0,124.0,179,0
1961419,1961419,Male,36,1,28.0,0,1-2 Year,Yes,28978.0,55.0,284,0
11334701,11334701,Male,66,1,41.0,1,1-2 Year,No,37808.0,12.0,292,0
962784,962784,Male,49,1,28.0,0,1-2 Year,Yes,37996.0,26.0,48,0
2621566,2621566,Male,62,1,17.0,1,1-2 Year,Yes,2630.0,25.0,202,0
3990747,3990747,Male,56,1,28.0,0,1-2 Year,Yes,51754.0,124.0,199,0
179792,179792,Male,20,1,10.0,1,< 1 Year,No,34305.0,160.0,260,0
5791669,5791669,Female,52,1,41.0,0,> 2 Years,Yes,36282.0,26.0,83,1
6147620,6147620,Female,38,1,28.0,0,1-2 Year,Yes,26388.0,124.0,163,0
3047091,3047091,Female,23,1,11.0,1,< 1 Year,No,34008.0,152.0,109,0
4337018,4337018,Female,46,1,28.0,0,1-2 Year,No,38603.0,122.0,288,0
6344056,6344056,Female,26,1,18.0,0,< 1 Year,Yes,28702.0,152.0,95,1
2727703,2727703,Male,23,1,8.0,1,< 1 Year,No,41711.0,152.0,199,0
1655512,1655512,Female,42,1,28.0,0,1-2 Year,Yes,45664.0,26.0,130,0
2058753,2058753,Male,43,1,8.0,1,1-2 Year,No,2630.0,124.0,126,0
138008,138008,Female,33,1,28.0,0,1-2 Year,Yes,40632.0,26.0,279,0
1165565,1165565,Male,45,1,13.0,0,1-2 Year,Yes,2630.0,156.0,261,0
3486530,3486530,Male,68,1,30.0,0,> 2 Years,Yes,30808.0,140.0,42,1
1899428,1899428,Female,31,1,41.0,0,1-2 Year,Yes,2630.0,124.0,270,1
1089714,1089714,Female,21,1,8.0,0,< 1 Year,Yes,40172.0,160.0,187,0
10955659,10955659,Male,33,1,5.0,0,1-2 Year,Yes,2630.0,156.0,231,0
9304763,9304763,Female,70,1,28.0,0,1-2 Year,Yes,45954.0,122.0,288,1
2897326,2897326,Male,35,1,30.0,1,1-2 Year,No,2630.0,152.0,190,0
4251285,4251285,Male,48,1,28.0,0,> 2 Years,Yes,43248.0,26.0,245,0
6450329,6450329,Male,77,1,46.0,1,1-2 Year,No,29069.0,26.0,74,0
8646222,8646222,Female,25,1,36.0,1,< 1 Year,No,40474.0,152.0,199,0
10507857,10507857,Female,25,1,8.0,1,< 1 Year,No,2630.0,152.0,248,0
11381825,11381825,Male,27,1,6.0,1,< 1 Year,No,23204.0,152.0,71,0
3646800,3646800,Male,55,1,39.0,0,1-2 Year,Yes,61731.0,124.0,160,0
9750276,9750276,Male,24,1,28.0,1,< 1 Year,No,43274.0,152.0,112,0
4593710,4593710,Female,25,1,28.0,1,< 1 Year,No,34605.0,152.0,45,0
11276313,11276313,Female,31,1,28.0,0,< 1 Year,Yes,56441.0,124.0,236,0
7808073,7808073,Female,22,1,15.0,0,< 1 Year,Yes,28379.0,152.0,255,0
6300243,6300243,Female,27,1,36.0,1,< 1 Year,No,32338.0,152.0,173,0
9161842,9161842,Female,30,1,21.0,1,< 1 Year,No,31036.0,152.0,151,0
3645942,3645942,Male,64,1,18.0,0,1-2 Year,Yes,2630.0,124.0,221,0
7358035,7358035,Male,47,1,28.0,0,1-2 Year,Yes,48323.0,124.0,35,0
3925294,3925294,Male,28,1,46.0,1,< 1 Year,No,23792.0,26.0,194,0
6281257,6281257,Female,24,1,2.0,1,< 1 Year,No,31796.0,160.0,210,0
3178970,3178970,Male,63,1,43.0,1,1-2 Year,Yes,27228.0,30.0,128,0
2573630,2573630,Female,27,1,41.0,1,< 1 Year,No,57832.0,152.0,267,0
11489339,11489339,Female,23,1,28.0,0,< 1 Year,Yes,37261.0,124.0,47,0
8590290,8590290,Female,24,1,14.0,1,< 1 Year,No,24345.0,152.0,257,0
210116,210116,Male,45,1,36.0,1,1-2 Year,No,33128.0,124.0,189,0
9075971,9075971,Male,26,1,30.0,1,< 1 Year,No,27715.0,152.0,103,0
4534528,4534528,Female,35,1,8.0,1,1-2 Year,No,29765.0,124.0,99,0
9096671,9096671,Male,78,1,28.0,0,> 2 Years,Yes,54983.0,26.0,201,0
5469616,5469616,Female,66,1,28.0,1,1-2 Year,No,44188.0,124.0,159,0
1518767,1518767,Female,25,1,39.0,1,< 1 Year,No,27265.0,151.0,197,0
8642675,8642675,Female,21,1,43.0,0,< 1 Year,No,2630.0,160.0,222,0
9368951,9368951,Female,25,1,14.0,1,< 1 Year,No,25279.0,152.0,31,0
4977434,4977434,Male,26,1,35.0,1,< 1 Year,No,39203.0,152.0,113,0
1083317,1083317,Male,47,1,28.0,0,> 2 Years,Yes,55698.0,124.0,298,0
6030680,6030680,Female,59,1,15.0,1,1-2 Year,No,2630.0,14.0,133,0
2659346,2659346,Female,23,1,50.0,0,< 1 Year,Yes,25695.0,152.0,195,0
7781973,7781973,Male,21,1,46.0,0,< 1 Year,Yes,35595.0,160.0,24,0
9955525,9955525,Female,25,1,11.0,1,< 1 Year,No,45002.0,152.0,103,0
3209514,3209514,Male,52,1,28.0,1,1-2 Year,No,34159.0,29.0,221,0
2018596,2018596,Female,25,1,35.0,1,< 1 Year,No,22601.0,152.0,74,0
8626664,8626664,Female,40,1,28.0,1,1-2 Year,No,65729.0,124.0,144,0
601087,601087,Male,32,1,33.0,1,< 1 Year,No,2630.0,160.0,248,0
1961055,1961055,Female,51,1,19.0,0,1-2 Year,Yes,39112.0,26.0,141,0
200411,200411,Male,49,1,46.0,0,1-2 Year,Yes,37087.0,124.0,13,0
345621,345621,Female,40,1,28.0,1,1-2 Year,No,29594.0,124.0,46,0
2098775,2098775,Female,44,1,34.0,0,1-2 Year,No,2630.0,124.0,223,0
